question,out-of-scope,question_note,human_answer,invalid_human_answer,answer_note
What is the status of report key 297080?,asking for individual status/ capability limitation,,"Report Key :297080
Pending Central A/P approval",,
What are the Columbia hotel rates for a visitor? I need help with the Visitors and Guests portal.,in scope,,Directed to the Visitors and Guests portal.,,
"I need help locating a resubmitted Concur report for Kyra Smith (ks4095). It hasn't been approved and is not showing in her initial approver's queue. Can you find out who this report is with? Here are the details: Report Name: Princeville/VC Lunch Meeting, Report Date: 04/23/2024, Submit Date: 05/31/2024, Amount Approved: 273.06 USD, Initial Approver: Emily Hostage (ech2137).",asking for individual status/ capability limitation,,Expense report for Kyra Smith (ks4095) pending resubmission,,
"I'm trying to get reimbursed through Concur, but I've been told that I can either have someone from my department enter it for me, or I can enter it myself. What should I do?",in scope,,"Hi Wendy,
If your department agrees that a delegate can enter the reimbursement for you, this job aid has instructions on how to set up a delegate:
https://www.finance.columbia.edu/sites/default/files/content/Training%20Documents/Concur/Job%20Aids/Job_Aid_Concur_Profile_Delegates.pdf

If your department wants you to enter the reimbursement yourself, they will need to provide your chartstring (GL BU, Department, Project, etc.). This quick guide has information on how to enter an expense report in Concur:
https://www.finance.columbia.edu/content/concur-expense-report-quick-guide

Best,
Kate",,
"We would like to process a reimbursement for Cameron Grant (UNI cg3234), but his student employee vendor ID is inactive. How do I set him up for reimbursement since he can't log on to Concur?",asking for individual status/ capability limitation,,Create outside party vendor profile for reimbursing former student,,
Can someone assist me with using Concur for wam2133?,asking for individual status/ capability limitation,,"Per Dralca's note in the previous INC, she must submit her own expenses since she is an employee. The only way you can do this on her behalf is to have her add you as a delegate. Here is the job aid: https://www.finance.columbia.edu/sites/default/files/content/Training%20Documents/Concur/Job%20Aids/Job_Aid_Concur_Profile_Delegates.pdf",,
I need guidance on reconciling an unauthorized charge. Can someone help?,in scope,,"Reconciling corp card, will create a pdf to upload with communication on this unauthorize charge.  Reopen ticket or give us a call if any questions. Thank you",,
I have a question about the expense report submission process. Can you help me understand how to do it?,in scope,,"Benjamin,
The approval workflow in concur is designed in a way that the report goes directly to supervisor approval if there is a supervisor listed in PAC under your profile. In the absence of a supervisor the report routes to a selected initial reviewer. In your case there is an assigned supervisor, Supervisor Name
EVAGELIA TERZOPOULOS CUNNINGHAM and your expense directly routes to her upon your submission, however, the supervisor also needs to be opted in through concur for approval and must have completed the supervisor training in order to accomplish this task
I have attached a job aid on how to opt in Supervisors and once Evagelia is opted in a training will be assigned to her.
You can reach out to the Department Administrator on this as well
",,
"Can I get an update on the reimbursement for voucher 06462188? I see the payment date was 07/23/2024 and it's registered under pay reference 1002278720, which was sent by Krystal Swell.",asking for individual status/ capability limitation,,Directed to Krystal Swell,,
"My Concur access is currently inactive, and I need to submit a pending expense report. Can my access be reactivated so I can submit it myself, or can my delegate Elizabeth Pickard submit it on my behalf? I really need this money ASAP to pay my credit card bill.",asking for individual status/ capability limitation,," Your account will be temporarily activated. However, you will need to submit the report today, as the Concur system will automatically be deactivated tomorrow. Thank you. ",,
