question,out-of-scope,question_note,human_answer,invalid_human_answer,answer_note
I have a question about my travel report with the reference inc2480196. Could someone assist me with this?,asking for individual status,,Directed to Ramon Baccari,Redirection,
I'm trying to find out how to reconcile my travel transactions in Concur.,in-scope,,Please review video for guidance,Solved Offline,
Can you provide information about managing expenses related to the foreign vendor JULIEN DESSAPT in Concur?,in-scope,,Vendor's banking information is Wire must process reimbursement via ARC using wire request form.,Valid,
What are the available expenses I can claim in Concur?,in-scope,,User is provided guidance on how to move the available expenses to a report page and create expense report,Valid,
Can you explain the process of using Concur for expenses?,in-scope,,Corporate transactions can be reconciled at end of the trip. Must ensure all fields are completed under report header or alerts may pop up due to missing information.,Valid,
How do I properly itemize my meals that exceed the threshold in Concur?,in-scope,,"Happy we were able to balance the itemizations. Here is a job aid you can refer to in the future or you can give us a call: https://travel-expense.finance.columbia.edu/news/how-do-i-itemize-meal-expense
Thanks. ",Solved Offline,
"I'm not receiving the payment notification emails for my Concur reimbursements. Does every Concur payee get these emails, or is there a setting I need to enable in my profile? Why am I not receiving the remittance information like Patrick does?",asking for individual status,,please see email response. email me if thats not what you're looking for.,Solved Offline,
"As a new project manager in CPM, how do I submit expenses for travel from our office to the project site at the Baker Athletics complex?",in-scope,,Please take a look at the instructions for creating and submitting a report. https://travel-expense.finance.columbia.edu/content/video-creating-and-submitting-business-expense-report. Any additional questions please give us a call or reopen ticket. Thank you,Solved Offline,
I'm having trouble accessing Concur. What should I do?,in-scope,,User doesn't have active PAC profile yet,Valid,
Can a Principal Investigator get reimbursed for paying a guest hotel accommodation?,in-scope,,A P ican be reimbursed if he/she pays for a guest hotel,Valid,
"I need assistance with the expense for university ab4882, Report Key: 244501 related to August Runge.",asking for individual status,,"Report Key : 244501   pending approval from Financial Approver     Runge, August ",Solved Offline,
I need clarification about making a payment to Amazon for research expenses.,in-scope,,Please use expense type miscelaneous,Valid,
